| #      | Company                | Category  | Live URL (Manus)                             | Intended Domain        | Readiness     | Stage      | Valuation          | Immediate Action        |
| ------ | ---------------------- | --------- | -------------------------------------------- | ---------------------- | ------------- | ---------- | ------------------ | ----------------------- |
| 1      | asisecurity.ai         | AI Safety | <https://aisecai-zuwcpse4.manus.space>       | asisecurity.ai         | 77%           | Beta       | £650K-£950K        | **Redirect domain NOW** |
| 2      | councilof.ai           | AI Safety | ⏸️ Pending (Bugged)                          | councilof.ai           | 65%           | Beta       | £900K-£1.4M        | Fix user role bug       |
| 3      | proofof.ai             | AI Safety | 🔴 Down (Restore)                            | proofof.ai             | 55%           | Beta       | £600K-£1M          | **Restore from backup** |
| 4      | transparencyof.ai      | AI Safety | <https://transparency-vzigtobm.manus.space>  | transparencyof.ai      | 35%           | Alpha      | £75K-£125K         | Add content & redirect  |
| 5      | accountabilityof.ai    | AI Safety | <https://aiaccountab-nmpznfbr.manus.space>   | accountabilityof.ai    | 37%           | Alpha      | £80K-£140K         | Remove login wall       |
| 6      | jabulon.ai             | AI Safety | ⏸️ Pending (No URL)                          | jabulon.ai             | 35%           | Beta       | £35K-£65K          | Build core API          |
| 7      | suicidestop.ai         | AI Safety | <https://suicidestop-fw7x8byi.manus.space>   | suicidestop.ai         | 35%           | Alpha      | £8K-£18K           | Add crisis hotline      |
| 8      | biasdetectionof.ai     | AI Safety | <https://biasdetection-uxcujj9q.manus.space> | biasdetectionof.ai     | 25%           | Alpha      | £45K-£85K          | Test algorithm & demo   |
| 9      | ethicalgovernanceof.ai | AI Safety | ⏸️ Pending (No URL)                          | ethicalgovernanceof.ai | 30%           | Alpha      | £30K-£55K          | Integrate RLMAI         |
| 10     | agisafe.ai             | AI Safety | <https://agisafeai-pmh3asuw.manus.space>     | agisafe.ai             | 25%           | Alpha      | £12K-£28K          | Write product page      |
| 11     | safetyof.ai            | AI Safety | ⏸️ Pending                                   | safetyof.ai            | 25%           | Alpha      | £5K-£10K           | Park until Q2           |
| 12     | dataprivacyof.ai       | AI Safety | <https://dataprivai-f6jaju7e.manus.space>    | dataprivacyof.ai       | 32%           | Alpha      | £15K-£35K          | Build scanner UI        |
|        | **AI Safety Subtotal** |           | **7 of 12 Live**                             |                        | **38.9% avg** |            | **£2.46M-£3.92M**  | **12 platforms**        |
| 13     | grabhire.ai            | SaaS      | [Verified](https://grabhire.ai)              | grabhire.ai            | 88%           | Beta       | £1.6M-£2.3M        | Send 10 LOIs/day        |
| 14     | muckaway.ai            | SaaS      | [Verified](https://muckaway.ai)              | muckaway.ai            | 85%           | Beta       | £1.5M-£2.2M        | Send 10 LOIs/day        |
| 15     | landlaw\.ai            | SaaS      | [Verified](https://landlaw.ai)               | landlaw\.ai            | 58%           | Production | £750K-£1.8M        | Add 3 case studies      |
| 16     | optimobile.ai          | SaaS      | [Verified](https://optimobile.ai)            | optimobile.ai          | 65%           | Production | £800K-£1.6M        | Clarify USP message     |
| 17     | fishkeeper.ai          | SaaS      | [Verified](https://fishkeeper.ai)            | fishkeeper.ai          | 87%           | Beta       | £75K-£180K         | **FIX STRIPE NOW**      |
| 18     | koikeeper.ai           | SaaS      | [Verified](https://koikeeper.ai)             | koikeeper.ai           | 81%           | Beta       | £85K-£200K         | Park until March        |
| 19     | pokerhud.ai            | SaaS      | [Verified](https://pokerhud.ai)              | pokerhud.ai            | 48%           | Beta       | £50K-£100K         | Build 3 demo videos     |
| 20     | planthire.ai           | SaaS      | [Verified](https://planthire.ai)             | planthire.ai           | 40%           | Alpha      | £12K-£25K          | Build quote flow        |
| 21     | loopfactory.ai         | SaaS      | [Verified](https://loopfactory.ai)           | loopfactory.ai         | 58%           | Alpha      | £15K-£30K          | Use as portfolio hub    |
| 22     | commercialvehicle.ai   | SaaS      | [Verified](https://commercialvehicle.ai)     | commercialvehicle.ai   | 26%           | Alpha      | £8K-£15K           | Park until Q2           |
|        | **SaaS Subtotal**      |           | **All 11 Verified**                          |                        | **70.5% avg** |            | **£4.85M-£8.35M**  | **11 platforms**        |
| **23** | **TOTAL PORTFOLIO**    |           | **7 AI Safety Live**                         |                        | **54.8% avg** |            | **£7.31M-£12.27M** | **23 companies**        |
