Company,Category,Status,Stage,Technical Score,Marketing Score,Content Score,Comprehensive_Score,Production_Score_V2,Launch_Status,Valuation_K,Gap_Category,Immediate Action
grabhire.ai,SaaS,Live,Beta,35.2,26.4,26.4,30.800000000000004,30.800000000000004,Launch Ready,1150.8,Unknown,Send 10 LOIs/day
fishkeeper.ai,SaaS,Live,Beta,34.800000000000004,26.099999999999998,26.099999999999998,30.45,30.45,Launch Ready,127.5,Unknown,**FIX STRIPE NOW**
muckaway.ai,SaaS,Live,Beta,34.0,25.5,25.5,29.75,29.75,Launch Ready,1100.75,Unknown,Send 10 LOIs/day
optimobile.ai,SaaS,Live,Production,26.0,19.5,19.5,22.75,29.575,Almost Ready,400800.0,Unknown,Clarify USP message
koikeeper.ai,SaaS,Live,Beta,32.4,24.3,24.3,28.349999999999998,28.349999999999998,Launch Ready,142.5,Unknown,Park until March
asisecurity.ai,AI Safety,Live,Beta,30.0,22.0,25.0,26.75,26.75,Launch Ready,800.0,Product,**Redirect domain NOW**
landlaw.ai,SaaS,Live,Production,23.200000000000003,17.4,17.4,20.3,26.39,Almost Ready,375900.0,Unknown,Add 3 case studies
pokerhud.ai,SaaS,Live,Beta,19.200000000000003,14.399999999999999,14.399999999999999,16.8,16.8,Not Ready,75.0,Unknown,Build 3 demo videos
loopfactory.ai,SaaS,Live,Alpha,23.200000000000003,17.4,17.4,20.3,14.209999999999999,Needs Work,22.5,Unknown,Use as portfolio hub
planthire.ai,SaaS,Live,Alpha,16.0,12.0,12.0,14.0,9.799999999999999,Not Ready,18.5,Unknown,Build quote flow
transparencyof.ai,AI Safety,Live,Alpha,15.0,10.0,10.0,12.5,8.75,Not Ready,100.0,Product,Add content & redirect
dataprivacyof.ai,AI Safety,Live,Alpha,15.0,10.0,7.0,11.75,8.225,Not Ready,25.0,Product,Build scanner UI
accountabilityof.ai,AI Safety,Live,Alpha,10.0,15.0,12.0,11.75,8.225,Not Ready,110.0,Product,Remove login wall
suicidestop.ai,AI Safety,Live,Alpha,10.0,10.0,15.0,11.25,7.874999999999999,Not Ready,13.0,Content,Add crisis hotline
councilof.ai,AI Safety,Pending,Beta,20.0,10.0,10.0,15.0,7.5,Not Ready,450700.0,Content,Fix user role bug
commercialvehicle.ai,SaaS,Live,Alpha,10.4,7.8,7.8,9.1,6.369999999999999,Not Ready,11.5,Unknown,Park until Q2
agisafe.ai,AI Safety,Live,Alpha,10.0,5.0,10.0,8.75,6.125,Not Ready,20.0,Product,Write product page
jabulon.ai,AI Safety,Pending,Beta,14.0,10.5,10.5,12.25,6.125,Not Ready,50.0,Unknown,Build core API
biasdetectionof.ai,AI Safety,Live,Alpha,5.0,10.0,10.0,7.5,5.25,Not Ready,65.0,Product,Test algorithm & demo
proofof.ai,AI Safety,Down,Beta,22.0,16.5,16.5,19.25,3.85,Not Ready,300500.0,Unknown,**Restore from backup**
ethicalgovernanceof.ai,AI Safety,Pending,Alpha,12.0,9.0,9.0,10.5,3.675,Not Ready,42.5,Unknown,Integrate RLMAI
safetyof.ai,AI Safety,Pending,Alpha,10.0,7.5,7.5,8.75,3.0625,Not Ready,7.5,Unknown,Park until Q2
