Subject,Company Name,Technical Score,Marketing Score,Content Score,Total Score,Readiness %,Stage,Key Strengths,Critical Gaps,Estimated Valuation,Error
https://optimobile.ai - Optometry practice management software,optimobile.ai,25,20,18,63,63,Beta,"Clear mobile-first AI value proposition, Professional and comprehensive marketing site, Good foundational content and documentation","Missing payment integration (Stripe), No analytics or affiliate system detected, Blog content has future dates",£1.5M-£2.5M,
https://proofof.ai - Deepfake detection and AI compliance,proofof.ai,20,20,15,55,55,Beta,"Clear value proposition, Stripe payment integration, Strong technical foundation","No Product Hunt listing, No social media content, Documentation page is 404",£1.5M-£2.5M,
https://planthire.ai - Construction equipment rental marketplace,planthire.ai,5,15,5,25,25,Alpha,"Professional landing page design, Clear and unique value proposition, Detailed conceptual documentation","Core product features are broken, No clear pricing tiers, No marketing analytics or affiliate system",£0k-£10k,
https://fishkeeper.ai - Aquarium management AI assistant,,,,,,,,,,,
https://councilof.ai - Central AI safety governance hub,councilof.ai,25,20,20,65,65,Beta,"Democratic AI governance concept, functional core feature demo, comprehensive documentation outline","No payment integration (Stripe), no user authentication, no analytics/affiliate tracking",£1.5M-£2.5M,
https://transparencyof.ai - AI transparency and explainability,transparencyof.ai,25,20,,45,45,Beta,"Clear value proposition, Professional landing page, Core feature demonstration","No blog/content, No documentation, No analytics/tracking",£250k-£500k,
https://accountabilityof.ai - AI accountability and incident reporting,accountabilityof.ai,5,18,,23,23,Alpha,"Clear value proposition, Professional landing page design, Well-defined pricing tiers","No user authentication, No payment integration, No interactive features",£5k-£15k,
https://asisecurity.ai - AI security vulnerabilities and defense,asisecurity.ai,,20,,20,20,Alpha,"Exceptional landing page design, Clear value proposition, Detailed pricing tiers","No functional product, No user authentication/payment, No content or documentation",£10k-£50k,
https://agisafe.ai - AGI risk assessment and safety,agisafe.ai,2,20,,22,22,Alpha,"Strong, clear value proposition, Professional landing page design, Clear pricing structure","Core product functionality, Launch preparation (blog/social/docs), Technical infrastructure (backend/auth/payment)",£10k-£50k,
https://suicidestop.ai - Mental health crisis detection AI,suicidestop.ai,,18,,18,18,Alpha,"Strong, unique value proposition, Professional and high-quality landing page design, Clear, high-tier pricing structure","No functional product or core features, Zero technical infrastructure, Complete lack of launch content",£0k-£50k,
https://biasdetectionof.ai - AI bias detection and fairness,biasdetectionof.ai,10,20,,30,30,Alpha,"Professional landing page design, Clear and unique value proposition, Well-defined pricing tiers","Non-functional core features, Complete lack of launch prep content, Missing marketing infrastructure",£10k-£50k,
https://dataprivacyof.ai - AI data privacy protection (GDPR/CCPA),dataprivacyof.ai,,15,,15,15,Alpha,"Clear and unique value proposition, Professional landing page design, Clear pricing tiers","Core product functionality, User authentication/sign-up, Marketing analytics and affiliate system",£0k-£0k,
https://safetyof.ai - General AI safety assessments,safetyof.ai,5,20,,25,25,Alpha,"Clear value proposition, Professional landing page, Clear enterprise pricing","No functional product, No user authentication, No content/blog/docs",£10k-£25k,
https://ethicalgovernanceof.ai - AI ethical governance framework,ethicalgovernanceof.ai,10,20,,30,30,Alpha,"Clear Value Proposition, Professional Landing Page Design, Clear Pricing Tiers","No visible content (Blog, Docs, Social), No user authentication/sign-up flow, No payment integration",£10k-£50k,
https://jabulon.ai - Robotics safety (Jabulon's Laws),jabulon.ai,,20,15,35,35,Beta,"Exceptional landing page design, Clear value proposition, Launch readiness (waitlist/email)","Zero technical functionality, Missing marketing infrastructure, Unverified content (blog/social)",£50k-£150k,
