name,segment,why_them,product_fit,price,contact_route,source_url,confidence
ChalkStream Foods Ltd,Premium trout processor/aggregator,"RSPCA Assured member that sources only from RSPCA Assured Hampshire chalkstream farms (Test & Itchen); supplies Waitrose/Harrods/Fortnum & Mason; was publicly suspended by RSPCA after 2021 Viva! investigation then reinstated — has lived the compliance pain firsthand and now has a brand reason to over-document welfare. Aggregator = sells once, covers multiple farms.",MEOK RSPCA Aquaculture (Pro) + ASC×RSPCA×GG.A.P Crosswalk,£499/mo (RSPCA) up to £999/mo (Crosswalk),"Phone 01794 330000; email sales@chalkstreamfoods.co.uk; addr Old Salisbury Lane, Awbridge, Romsey, Hants SO51 0GD",https://www.chalkstreamfoods.co.uk/pages/the-fish,CONFIRMED
Test Valley Trout Ltd,Commercial trout farm (Hampshire),"BTA full member on the Test; part of the Hampshire chalkstream cluster that supplies premium retail; Greatbridge/Test Valley group regained RSPCA Assured membership in 2021 so renewal/maintenance of the standard is a live, recurring cost for them.",MEOK RSPCA Aquaculture (Pro),£499/mo,Phone 01794 512453 (BTA members list),http://britishtrout.co.uk/members-list,CONFIRMED
Houghton Springs Fish Farm Ltd,Commercial trout farm (Dorset),"BTA full member; established Dorset producer; named in Quality Trout UK accreditation scheme — already invests in third-party assurance, so adding RSPCA Assured automation is an adjacent sell.",MEOK RSPCA Aquaculture (Pro) + UK FHI base layer,£499/mo + £79/mo,Phone 07535 440055; web houghtonspringstroutfarm.co.uk,http://britishtrout.co.uk/members-list,CONFIRMED
Bibury Trout Farm,Commercial trout farm + visitor attraction (Gloucestershire),"One of England's oldest working trout farms (est. 1902); high public profile (tourist site) means welfare reputation matters; clear website + phone for direct contact.",MEOK RSPCA Aquaculture (Pro) or UK FHI base layer,£79/mo entry → £499/mo,Phone 01285 740215; web biburytroutfarm.co.uk,http://britishtrout.co.uk/members-list,CONFIRMED
Bulldog Fish Farm,Commercial trout farm (North Devon),"BTA full member; restocking + table-trout producer in Devon; needs CEFAS AW1 authorisation + EA discharge consents + APHA movement docs regardless of retail — strong fit for the £79 regulatory base layer as the low-friction first sale.",MEOK UK FHI (regulatory base) → RSPCA upsell,£79/mo,Phone 07767 492800; web bulldogfishfarm.co.uk,http://britishtrout.co.uk/members-list,CONFIRMED
Dunsop Bridge Trout Farm,Commercial trout farm (Lancashire),"BTA full member + Quality Trout UK member; Forest of Bowland producer; supplies local trade — base regulatory layer is the natural entry, RSPCA upsell if they chase premium retail.",MEOK UK FHI (regulatory base),£79/mo,Phone 01200 448234; web dunsopbridgetroutfarm.co.uk,http://britishtrout.co.uk/members-list,CONFIRMED
Kilnsey Trout Farm,Commercial trout farm + visitor attraction (North Yorkshire),"BTA full member; Yorkshire Dales producer with public visitor site (welfare reputation matters); clear contact route.",MEOK UK FHI (regulatory base) → RSPCA,£79/mo,Phone 07765 688780; web kilnseyfishing.co.uk,http://britishtrout.co.uk/members-list,CONFIRMED
Hooke Springs Trout Farm,Commercial trout farm (Dorset),"BTA full member; Dorset chalkstream producer; same regulatory base-layer need (CEFAS/EA/APHA) as every English farm.",MEOK UK FHI (regulatory base),£79/mo,Phone 01308 862553; web hookespringstrout.co.uk,http://britishtrout.co.uk/members-list,CONFIRMED
British Trout Association,Trade body (50+ trout farm members),"Single point of distribution to the entire English/Scottish trout farming membership; member-benefit bundle turns 1-by-1 selling into one channel deal; lends sector credibility. Build on existing BTA email draft.",Channel/bulk-licence deal across UK FHI + RSPCA,Bulk (e.g. £49/mo member rate or rev-share),Contact form / secretariat via britishtrout.co.uk; board listed at /about-us/board-members/,https://britishtrout.co.uk/,CONFIRMED
OATA (Ornamental Aquatic Trade Association),Trade body (ornamental/koi retailers),"Members are exactly the LAIA-licensed ornamental/koi retailer audience for the £29 LAIA MCP; bulk member-benefit framing collapses thousands of micro-sales into one deal. Build on existing OATA email draft.",Channel/bulk-licence for LAIA Aquatic MCP,Bulk (free<5 audits + £15/mo member rate),info via ornamentalfish.org,https://ornamentalfish.org/,CONFIRMED
The Oaks Koi Farm,Koi dealer/importer (Lancashire),"Established UK koi farm importing Japanese koi + selling pond supplies; koi importers must manage KHV/CEV notifiable-disease + LAIA animal-activities licence — direct fit for LAIA Aquatic MCP at £29/mo.",MEOK LAIA Aquatic MCP,£29/mo,Contact via theoakskoifarm.com,https://theoakskoifarm.com/,CONFIRMED
Koi Water Barn,Koi dealer/importer (Kent),"High-end Japanese koi importer; importing live koi triggers IPAFFS + APHA + KHV biosecurity + LAIA licence — fits both LAIA MCP and the UK FHI import flow.",MEOK LAIA Aquatic MCP (+ UK FHI for imports),£29/mo (+£79/mo),"Phone 01689 878161; email info@koiwaterbarn.com; addr Rushmore Hill, Knockholt, Sevenoaks, Kent TN14 7NN",https://koiwaterbarn.com/,CONFIRMED
Byer Koi Farm,Koi breeder/dealer (Hertfordshire),"UK koi breeder near Hemel Hempstead; breeding + selling = LAIA animal-activities licence + CEV/KHV biosecurity obligations.",MEOK LAIA Aquatic MCP,£29/mo,Contact via byerkoifarm.co.uk,https://www.byerkoifarm.co.uk/,CONFIRMED
Cuttlebrook Koi Farm,Koi breeder/dealer (UK),"Breeding & growing koi on-site since 1990; established Nishikigoi producer with biosecurity + LAIA exposure.",MEOK LAIA Aquatic MCP,£29/mo,Contact via cuttlebrookkoifarm.co.uk,https://cuttlebrookkoifarm.co.uk/,CONFIRMED
Icklesham Koi,Koi dealer (East Sussex),"Explicitly OATA-trained/affiliated koi & pond specialist near Rye; OATA link = warm framing if OATA channel deal lands; direct LAIA fit.",MEOK LAIA Aquatic MCP,£29/mo,Contact via ickleshamkoi.co.uk,https://www.ickleshamkoi.co.uk/,CONFIRMED
