Company,Category,Status,Stage,Readiness_Numeric,Production_Score,Valuation_K,Potential_Score,Top_20,Immediate Action
councilof.ai,AI Safety,Pending,Beta,65.0,39.0,450700.0,98.28,True,Fix user role bug
optimobile.ai,SaaS,Live,Production,65.0,78.0,400800.0,84.55700022187708,True,Clarify USP message
landlaw.ai,SaaS,Live,Production,58.0,69.6,375900.0,77.88215664521854,True,Add 3 case studies
proofof.ai,AI Safety,Down,Beta,55.0,16.5,300500.0,60.58576880408254,True,**Restore from backup**
asisecurity.ai,AI Safety,Live,Beta,77.0,77.0,800.0,40.17845129798092,False,**Redirect domain NOW**
grabhire.ai,SaaS,Live,Beta,88.0,88.0,1150.8,35.35320168626581,False,Send 10 LOIs/day
fishkeeper.ai,SaaS,Live,Beta,87.0,87.0,127.5,34.81697359662747,False,**FIX STRIPE NOW**
muckaway.ai,SaaS,Live,Beta,85.0,85.0,1100.75,34.14653871755048,False,Send 10 LOIs/day
koikeeper.ai,SaaS,Live,Beta,81.0,81.0,142.5,32.41897049034834,False,Park until March
pokerhud.ai,SaaS,Live,Beta,48.0,48.0,75.0,19.209984468604397,False,Build 3 demo videos
loopfactory.ai,SaaS,Live,Alpha,58.0,46.400000000000006,22.5,18.56299534058132,False,Use as portfolio hub
accountabilityof.ai,AI Safety,Live,Alpha,37.0,29.6,110.0,15.411037053472379,False,Remove login wall
transparencyof.ai,AI Safety,Live,Alpha,35.0,28.0,100.0,14.577306412247617,False,Add content & redirect
suicidestop.ai,AI Safety,Live,Alpha,35.0,28.0,13.0,14.56224983359219,False,Add crisis hotline
dataprivacyof.ai,AI Safety,Live,Alpha,32.0,25.6,25.0,13.316326603061906,False,Build scanner UI
planthire.ai,SaaS,Live,Alpha,40.0,32.0,18.5,12.802462835589084,False,Build quote flow
jabulon.ai,AI Safety,Pending,Beta,35.0,21.0,50.0,10.928653206123807,False,Build core API
biasdetectionof.ai,AI Safety,Live,Alpha,25.0,20.0,65.0,10.41124916796095,False,Test algorithm & demo
agisafe.ai,AI Safety,Live,Alpha,25.0,20.0,20.0,10.403461282449525,False,Write product page
commercialvehicle.ai,SaaS,Live,Alpha,26.0,20.8,11.5,8.321530951852674,False,Park until Q2
ethicalgovernanceof.ai,AI Safety,Pending,Alpha,30.0,14.4,42.5,7.495355225205238,False,Integrate RLMAI
safetyof.ai,AI Safety,Pending,Alpha,25.0,12.0,7.5,6.2412979809185725,False,Park until Q2
