Subject,Company Name,Technical Score,Marketing Score,Content Score,Total Score,Readiness %,Stage,Key Strengths,Critical Gaps,Estimated Valuation,Error
https://fishkeeper.ai - Aquarium management AI,fishkeeper.ai,38,29,20,87,87,Beta,"Clear and compelling value proposition, Robust core AI features, Excellent landing page design","Lack of active blog/SEO content, No clear email sequence opt-in, No visible Product Hunt launch",£100k-£250k,
https://koikeeper.ai - Koi pond management AI,KoiKeeper.ai,38,28,15,81,81,Beta,"Clear value proposition, Robust core features, Excellent landing page design","Social media presence, Email marketing sequences, Product Hunt launch",£100k-£250k,
https://optimobile.ai - Optometry practice management,optimobile.ai,25,24,16,65,65,Production,"Strong, clear, and unique value proposition, Excellent pricing page with clear add-ons, Core features are highly relevant and AI-focused","No clear affiliate system, Blog content is purely marketing/SEO, No public documentation/tutorials",£1.5M-£2.5M,
https://proofof.ai - Deepfake detection and AI compliance,proofof.ai,40,22,20,62,62,Beta,"Clear value proposition, Strong technical documentation, Production-ready core feature demo","No social media presence, No affiliate system, No Product Hunt launch data",£1.5M-£2.5M,
https://planthire.ai - Construction equipment rental,planthire.ai,20,15,5,40,40,Alpha,"Strong value proposition, Clear dual-sided market focus, Modern and clean landing page design","Missing core features (Pricing, Blog, Docs), No visible payment integration, No social media presence",£10k-£20k,
https://muckaway.ai - Muck away and waste removal,muckaway.ai,36,23,7,66,66,Beta,"Clear value proposition, High-quality landing page, Complex AI core feature","High-volume content and SEO strategy, Social media presence, Affiliate/referral system",£1.5M-£2.5M,
https://grabhire.ai - Grab hire services,grabhire.ai,30,25,12,67,67,Beta,"DWT compliance focus, AI-powered pricing, Mobile-first driver app","No visible blog content, No social media presence, No clear affiliate system",£1.5M-£2.5M,
https://pokerhud.ai - Poker HUD and analytics,pokerhud.ai,28,10,10,48,48,Beta,"Clear value proposition,Modern and professional design,Comprehensive feature set","No pricing information,Broken help center link,No social media presence",£50k-£100k,
https://commercialvehicle.ai - Commercial vehicle management,commercialvehicle.ai,11,14,1,26,26,Alpha,"Clear value proposition, Professional landing page design, Functional user authentication","Core features unverified, No pricing page, Lack of content and social presence",£10k-£25k,
https://landlaw.ai - Land law and property legal AI,landlaw.ai,33,22,3,58,58,Production,"Clear, High-Value Niche, Strong Product Claims, Excellent Landing Page/Value Prop","Zero Content Strategy, No Affiliate/Referral System, Missing Social Login/Documentation",£1.0M-£3.0M,
https://loopfactory.ai - Loop factory and music production,loopfactory.ai,20,18,20,58,58,Alpha,"Clear value proposition, Professional landing page, Detailed documentation","No live agents, No clear social media presence, No visible affiliate program",£10k-£25k,
